[-2.61229006664178, 2.029157757767382]
[-2.5887755291396086, 2.0333441702494857]
[-2.632202133986452, 1.8997062274096916]
[-2.6284660227023355, 1.7170892670246107]
[-2.6253133949430008, 1.5504598504000993]
[-2.6209057211796805, 1.3841822745521801]
[-2.618152193903811, 1.204431970844703]
[-2.617626395339276, 1.038782340469423]
[-2.6181221816747335, 0.8719847569040883]
[-2.6146406366222235, 0.6912787358403147]
[-2.614177047961234, 0.5300767668714083]
[-2.61944687575598, 0.3509396974266059]
[-2.6241819139701996, 0.18373280487730007]
[-2.6281746770356835, 0.012424191160525103]
[-2.6258178545504727, -0.15392641773806473]
[-2.626160709689954, -0.32831844224712026]
[-2.6266133707032413, -0.48923680805282616]
[-2.6235627412460674, -0.6767865707473663]
[-2.6184640024359305, -0.8573088732140168]
[-2.6220885525586817, -1.0162782450168728]
[-2.6210485234720013, -1.1657901409012599]
[-2.620347233190316, -1.3321586172450903]
[-2.6206677779336576, -1.4491274473275408]
[-2.6223718991803064, -1.549557863589324]
[-2.626604684726992, -1.6681221961076036]
[-2.632512028228716, -1.7322334068919945]
[-2.6348271573593176, -1.7651329540410143]
[-2.6397119930862925, -1.8003882582128148]
[-2.644110325316722, -1.8305412010480984]
[-2.648871205949279, -1.8595030905910754]
[-2.6482254908274463, -1.860959539528591]
[-2.6382644489642364, -1.8775324003958902]
[-2.5451882993642783, -1.9077861301946302]
[-2.44939544785039, -1.9191779434909222]
[-2.4122633297024807, -1.9225670422356644]
[-2.349804680510266, -1.9292420259795768]
[-2.349804680510266, -1.9292420259795768]
[-2.3304861776321637, -1.9348457313013938]
[-2.32201162426243, -1.9273138398146568]
[-2.310426769433817, -1.8949476779432097]
[-2.298915081431887, -1.7401948518859298]
[-2.3177218843838223, -1.5677739629202836]
[-2.315057058332069, -1.3936133471376269]
[-2.3135483695328, -1.2193824495017065]
[-2.3167816942043538, -1.0468691401666008]
[-2.321933193885632, -0.8760011220619017]
[-2.323181517180348, -0.706821327264731]
[-2.319309869077327, -0.5316764554682527]
[-2.3246804472621667, -0.36148795282102747]
[-2.326955702883412, -0.19846090047885856]
[-2.330818511633065, -0.02685083669875669]
[-2.327442474125701, 0.14475238414305405]
[-2.321308304312127, 0.3203399436185545]
[-2.320693534234328, 0.4964533126923143]
[-2.3229620651451963, 0.6544722123376285]
[-2.326141511100349, 0.8049891760461664]
[-2.3297940641739245, 0.9700161327365129]
[-2.327798523658149, 1.1322912877025273]
[-2.3283995220222637, 1.2938953325139975]
[-2.3218149062259283, 1.4672651321860997]
[-2.3183558510552946, 1.595857485868629]
[-2.3075697144055534, 1.7411955192033366]
[-2.298430333595415, 1.807380410068454]
[-2.2914670670658586, 1.850079120060367]
[-2.2803348422612846, 1.919422467995369]
[-2.2736798793928297, 1.9510026098875164]
[-2.267974234390307, 1.9647096941370694]
[-2.27002112214076, 1.9699652381815485]
[-2.238323553486946, 1.9911695167466648]
[-2.1627194792217943, 2.046276707139703]
[-2.105964555560126, 2.072265880852747]
[-2.0417340933725496, 2.0910254362660616]
[-2.007206601617141, 2.0958882118034645]
[-1.9643215083794234, 2.0966150722851697]
[-1.9374808477383172, 2.094529234156024]
[-1.912353443054261, 2.0914727643556588]
[-1.919214162646112, 2.093019154467159]
[-1.9079184457843594, 2.0835941007454375]
[-1.8919678451831488, 2.0145528141903757]
[-1.8796931940593582, 1.8394234249677444]
[-1.8862971527490422, 1.6579951221553075]
[-1.8866721158058528, 1.4841531579308986]
[-1.8804462280194396, 1.3158745591557]
[-1.876019005295691, 1.138464247588916]
[-1.874931039053235, 0.9628437723923476]
[-1.8732273330465818, 0.7945810611777473]
[-1.879292283029862, 0.6161759388357567]
[-1.8817483544207283, 0.447096358728273]
[-1.878958250665865, 0.2769551011758136]
[-1.875704052436982, 0.11309310122845245]
[-1.8762667383153537, -0.05201481112303367]
[-1.8717988073111893, -0.2159310850958769]
[-1.8685839789648242, -0.3759991724119817]
[-1.871581312006697, -0.543169698501541]
[-1.874954822177798, -0.696492025630894]
[-1.8747501248554432, -0.8714041192876023]
[-1.873860684461679, -1.0453062277600789]
[-1.8687268790488012, -1.2199141502217692]
[-1.8627644128143472, -1.3773331566315836]
[-1.8594178107017214, -1.4978167410724417]
[-1.8560293961819359, -1.638726801202985]
[-1.8510010806231914, -1.7014106870912677]
[-1.846512540674498, -1.7731573187081475]
[-1.8464515121080936, -1.810758405341531]
[-1.8453259126088106, -1.8474641543740324]
[-1.8453259126088106, -1.8474641543740324]
[-1.8469933813083523, -1.8531935141073854]
[-1.8238998690856534, -1.8629043290345255]
[-1.7479599129514012, -1.8985247566550743]
[-1.679631502776965, -1.9178034912561914]
[-1.6115849622807823, -1.9391258060273544]
[-1.5815383360932496, -1.9459786672076187]
[-1.5559024029170476, -1.9493986178737512]
[-1.5321263450432445, -1.9537809799018837]
[-1.516263609693973, -1.9549982327954283]
[-1.5250162018746642, -1.9535353859553548]
[-1.508799549162678, -1.945003468430173]
[-1.4862761803542386, -1.8410450440925974]
[-1.5255339942852144, -1.6711367278413034]
[-1.5701597022347402, -1.5124432945217448]
[-1.5818379433465286, -1.3425616976632186]
[-1.581011608449801, -1.1684460174140485]
[-1.5785506479687035, -0.993245521848666]
[-1.5738870230894035, -0.8224570528960016]
[-1.5702315363441846, -0.6518313693864899]
[-1.572991991705693, -0.48149796334251177]
[-1.575652781076087, -0.301883198430647]
[-1.5754473378110623, -0.14016455016834747]
[-1.5759174860527092, 0.024913848517410436]
[-1.572147521593103, 0.20393244144240955]
[-1.577230044988145, 0.3586884115307562]
[-1.5818820816274863, 0.5157227814978521]
[-1.584648347366572, 0.6792044964062348]
[-1.5838538687810642, 0.8359794900429467]
[-1.5763017796043195, 1.003932302651102]
[-1.5709419962663345, 1.1777659151542956]
[-1.5679459936917555, 1.3528314162797537]
[-1.5576673360517443, 1.5262859316285642]
[-1.547539826475146, 1.6782823170680257]
[-1.5358233135353692, 1.7632361988224907]
[-1.5234904025347809, 1.8268983510957513]
[-1.5072128624997732, 1.8920626459045626]
[-1.49879618501653, 1.9258903315710802]
[-1.4904510505790514, 1.9583150756126892]
[-1.4918943650879344, 1.9586270148467466]
[-1.451834986530246, 1.996847939970098]
[-1.3845375858153095, 2.051021765932088]
[-1.3126251360182912, 2.091457110445545]
[-1.2599987139556377, 2.1068741524354264]
[-1.232553369411512, 2.1082216221917793]
[-1.1890262494976709, 2.107077405091781]
[-1.1549699615277054, 2.1037110840648845]
[-1.126356728617332, 2.095543804152827]
[-1.103945250660055, 2.0910164258494226]
[-1.0829522789443844, 2.0800393084011217]
[-1.0767228255897239, 2.076329694755016]
[-1.072433663145981, 2.0741486563873233]
[-1.0671652920349932, 2.072911859775265]
[-1.0769956677184367, 2.0697994460301987]
[-1.0727169294257548, 2.041553580460558]
[-1.0424647086056145, 1.8907219445296475]
[-1.0444756204590766, 1.7165689559385455]
[-1.0662834462533455, 1.537852612054904]
[-1.0697732713458645, 1.3691164100128075]
[-1.0609417004465287, 1.1937909811449718]
[-1.0497327175741353, 1.0191500853954834]
[-1.045511621209477, 0.8505169908522163]
[-1.0498696039451751, 0.6727863836405238]
[-1.0574695245850407, 0.5047655133827333]
[-1.0663389360708375, 0.3246120292256752]
[-1.0670037274764674, 0.15618913143870547]
[-1.0697308853335465, -0.0014128671804466589]
[-1.0709917541762444, -0.15686631282881583]
[-1.0673539682731066, -0.3257762149912688]
[-1.0632091990391292, -0.506707236866523]
[-1.068577066750521, -0.6731958558574153]
[-1.0654325822608854, -0.8274619856821039]
[-1.0670297577428332, -0.9882729124553125]
[-1.0604555510442895, -1.1580184311313007]
[-1.060779367103564, -1.3308969901937746]
[-1.0655738938003485, -1.462493471491512]
[-1.0681495814956359, -1.6080613759535007]
[-1.0696020792365812, -1.6790036097037235]
[-1.0670208978082607, -1.7457786128910144]
[-1.0639510900958682, -1.7787761052860889]
[-1.0599425093529051, -1.817903251902859]
[-1.058912386789799, -1.8525380826665896]
[-1.0559609505402159, -1.8619784318409924]
[-1.059783326147787, -1.8586577983412047]
[-1.0010075825266616, -1.9008339894624995]
[-0.9464226249381937, -1.9285327092736093]
[-0.8876541691042683, -1.9526725983804778]
[-0.8432028828106374, -1.9665817820266953]
[-0.7965254411979588, -1.9728671386127878]
[-0.7685761196419664, -1.9768035343866133]
[-0.7449694365825342, -1.9765991956500115]
[-0.7286380846243807, -1.976970479302638]
[-0.7421010678705101, -1.9756396237410758]
[-0.7393627602175334, -1.9292579133804593]
[-0.7115600200017624, -1.766432995413065]
[-0.6934752177016639, -1.5971485009154724]
[-0.6947199957891234, -1.4234390753794408]
[-0.7036901833583695, -1.252656128841303]
[-0.7101922862367662, -1.073468177500998]
[-0.7169884867239136, -0.8967807693528097]
[-0.7129861498465195, -0.7245324474206915]
[-0.7150342355892426, -0.547734942209915]
[-0.7203165617482368, -0.37729413553961744]
[-0.7286444632577599, -0.21025891201439234]
[-0.7306972953389527, -0.04748780664743687]
[-0.7302924834307847, 0.12236497041302138]
[-0.7284626248781851, 0.28383348542709774]
[-0.7251102402672537, 0.44816856395473775]
